,MAE,MAE_night_00_06,MAE_day_08_20,MAE_weekday,MAE_weekend,bias_mean_error,best_backshift,lag_verdict
DriftedSeasonalNaivem=144,127.01487721841801,36.93442067141256,186.97622536351443,126.76253806926587,127.64572509129842,-0.3855187249562133,1,predictions lag the signal (persistence-like behaviour)
LSTM,83.12746020725795,21.257130789378333,126.2143700614808,81.56573596530491,87.03177081214056,14.996970555138967,1,predictions lag the signal (persistence-like behaviour)
Persistence,92.80192378210643,23.128392931014773,138.36632828485398,88.36353874206543,103.89788638220892,0.11467815580822173,1,predictions lag the signal (persistence-like behaviour)
SARIMAX1_1_1+Fourier,85.62498430313121,20.18954347975746,134.4508352574622,74.94526813176225,112.32427473155369,5.342741400360847,1,predictions lag the signal (persistence-like behaviour)
SeasonalNaivem=144,338.593716424609,53.12586648123605,573.7462935372005,341.42116078270806,331.5251055293613,49.8368347107418,0,no systematic lag detected
TCN,78.66085573983571,19.087849995446582,117.11937223161969,75.86333306630452,85.65466242366367,16.857272988273984,1,predictions lag the signal (persistence-like behaviour)
