,MAE,MAE_night_00_06,MAE_day_08_20,MAE_weekday,MAE_weekend,bias_mean_error,best_backshift,lag_verdict
DriftedSeasonalNaivem=144,97.20900425582965,40.07690479137279,141.80854808968843,96.93296217035366,97.89910946951973,-0.2724960014302894,0,no systematic lag detected
LSTM,72.02344160231333,26.293267567952473,103.93666776021321,76.02442052629259,62.02099429236518,26.31973897843134,1,predictions lag the signal (persistence-like behaviour)
Persistence,81.51690810067313,34.1262073214092,116.47726906670465,84.55371877882216,73.92488140530057,0.14475338042728483,1,predictions lag the signal (persistence-like behaviour)
SARIMAX1_1_1+Fourier,67.21695176226855,26.340067711203883,98.99529693714504,66.92038153326615,67.9583773347745,1.7552708845621925,1,predictions lag the signal (persistence-like behaviour)
SeasonalNaivem=144,171.73574326530334,60.089720105367995,259.17102056836325,156.12208713955349,210.769883579678,46.41319671509758,0,no systematic lag detected
TCN,77.8152954464867,24.3391360328311,112.79674142504496,83.29031840430366,64.1277380519443,36.5519835759723,1,predictions lag the signal (persistence-like behaviour)
