,MAE,MAE_night_00_06,MAE_day_08_20,MAE_weekday,MAE_weekend,bias_mean_error,best_backshift,lag_verdict
DriftedSeasonalNaivem=144,111.74333613007157,71.18805744029858,152.72605098239958,110.13768233546503,115.75747061658791,0.2611674379419362,1,predictions lag the signal (persistence-like behaviour)
LSTM,69.80150501311772,35.83622021145291,98.44332147023034,80.01898182762994,44.25781297683716,8.07345856560601,1,predictions lag the signal (persistence-like behaviour)
Persistence,75.96750357794383,39.637718927292596,106.34950259375194,89.49097396002875,42.15882762273153,0.04972625914074126,1,predictions lag the signal (persistence-like behaviour)
SARIMAX1_1_1+Fourier,65.06362633304816,37.12018625837745,89.42061176364413,74.88607843612706,40.50749607535091,3.7422858268138848,1,predictions lag the signal (persistence-like behaviour)
SeasonalNaivem=144,470.32050983489506,250.44413733103917,718.3787153637599,407.07644752926296,628.4306655989753,26.332530036805167,0,no systematic lag detected
TCN,60.30398165990436,33.19569069998605,84.20337395440964,68.60640174018012,39.54793145921495,10.654697085183765,1,predictions lag the signal (persistence-like behaviour)
